Segundo cuatrimestre | Primer curso | Grupo 1ºE | Metodología de la Programación (MP) — Teoría (aula 0.3): Miércoles 17:30-18:30, Jueves 18:30-19:30 Prácticas: subgrupo E1 Lunes 15:30-17:30 (aula 3.1); subgrupo E2 Miércoles 15:30-17:30 (aula 2.1); subgrupo E3 Martes 15:30-17:30 (aula 2.1).
Segundo cuatrimestre | Primer curso | Grupo 1ºE | Tecnología y Organización de los Computadores (TOC) — Teoría (aula 0.3): Viernes 15:30-17:30 Prácticas: subgrupo E1 Martes 15:30-17:30 (aula 3.8); subgrupo E2 Lunes 15:30-17:30 (aula 3.8); subgrupo E3 Miércoles 15:30-17:30 (aula 3.8).
Segundo cuatrimestre | Primer curso | Grupo 1ºE | Asignaturas: Estadística (ES), Ingeniería, Empresa y Sociedad (IES), Lógica y Métodos Discretos (LMD), Metodología de la Programación (MP), Tecnología y Organización de los Computadores (TOC).
Primer cuatrimestre | Primer curso | Grupo 1ºF | Álgebra Lineal y Estructuras Matemáticas (ALEM) — Teoría (aula 0.5): Lunes 18:30-19:30, Miércoles 18:30-19:30, Jueves 15:30-16:30 Prácticas: subgrupo F1 Jueves 18:30-19:30 (aula 0.5); subgrupo F2 Lunes 16:30-17:30 (aula 1.6).
Primer cuatrimestre | Primer curso | Grupo 1ºF | Cálculo (CA) — Teoría (aula 0.5): Lunes 17:30-18:30, Miércoles 17:30-18:30, Jueves 16:30-17:30 Prácticas: subgrupo F1 Jueves 17:30-18:30 (aula 2.2); subgrupo F2 Lunes 15:30-16:30 (aula 3.9).
Primer cuatrimestre | Primer curso | Grupo 1ºF | Fundamentos Físicos y Tecnológicos (FFT) — Teoría (aula 0.5): Viernes 15:30-17:30 Prácticas: subgrupo F1 Martes 15:30-17:30 (aula 3.6); subgrupo F2 Jueves 17:30-19:30 (aula 3.10).
Primer cuatrimestre | Primer curso | Grupo 1ºF | Fundamentos de Programación (FP) — Teoría (aula 0.5): Martes 17:30-19:30 Prácticas: subgrupo F1 Lunes 15:30-17:30 (aula 3.8); subgrupo F2 Miércoles 15:30-17:30 (aula 3.8).
Primer cuatrimestre | Primer curso | Grupo 1ºF | Fundamentos del Software (FS) — Teoría (aula 0.5): Viernes 17:30-19:30 Prácticas: subgrupo F1 Miércoles 15:30-17:30 (aula 2.4); subgrupo F2 Martes 15:30-17:30 (aula 2.2).
Primer cuatrimestre | Primer curso | Grupo 1ºF | Asignaturas: Álgebra Lineal y Estructuras Matemáticas (ALEM), Cálculo (CA), Fundamentos Físicos y Tecnológicos (FFT), Fundamentos de Programación (FP), Fundamentos del Software (FS).
Segundo cuatrimestre | Primer curso | Grupo 1ºF | Estadística (ES) — Teoría (aula 0.5): Lunes 17:30-18:30, Martes 17:30-19:30 Prácticas: subgrupo F1 Viernes 15:30-16:30 (aula 2.8); subgrupo F2 Lunes 16:30-17:30 (aula 2.8).
